Data sets,x1,	x2,	 x3
DF1    ,  3.570e-003  , 1.004e-001  , 2.706e-002    
DF2    ,  3.021e-003  , 1.730e-002  , 1.229e-002 
DF3    ,  5.481e-003  , 2.940e-001  , 8.035e-002 
DF4    ,  1.374e-001  , 3.430e-001  , 1.256e-001 
DF5    ,  4.056e-003  , 9.351e-002  , 6.914e-002 
DF6    ,  1.076e+000  , 6.478e-001  , 3.317e-001 
DF7    ,  1.440e-002  , 3.839e-002  , 2.046e-002 
DF8    ,  2.568e-003  , 7.459e-002  , 5.318e-002 
DF9    ,  2.219e-001  , 4.986e-002  , 3.653e-002 
DF10   ,  1.563e-002  ,  2.529e-001 ,  1.913e-001
DF11   ,  7.513e-003  ,  5.361e-001 ,  1.560e-001
DF12   ,  1.432e-002  ,  2.876e-001 ,  2.812e-001
DF13   ,  4.132e-002  ,  2.126e-001 ,  1.986e-001
DF14   ,  8.980e-003  ,  4.910e-001 ,  3.507e-001
