Data sets,MOEA/D-HPMS, MOEA/D-MoE, MOEA/D-IEC, MOEA/D-SVR, MRCDMO, MOEA/D-HSS
FDA1    , 4.804e-3, 5.845e-3,4.604e-3,2.427e-1,6.775e-3,4.187e-3
FDA2    , 3.529e-1, 3.537e-1,3.529e-1,3.368e-2,3.532e-1,2.531e-2
FDA3    , 1.368e-2, 1.935e-2,1.396e-2,7.512e-1,2.593e-2,1.023e-2
FDA4    , 7.280e-2, 2.298e+1,7.009e-2,1.791e-1,2.075e-1,7.167e-2
dMOP1   , 5.420e-3, 6.757e-3,5.271e-3,7.502e-2,5.415e-3,4.697e-3
dMOP2   , 5.031e-3, 6.122e-3,4.786e-3,7.675e-2,4.745e-3,3.625e-3
dMOP3   , 4.611e-2, 4.168e-1,6.720e-3,8.126e-3,4.648e-2,5.953e-3
Fun8    , 1.501e-2, 1.207e-2,1.510e-2,1.000e+0,1.868e-2,1.455e-2
Fun9    , 5.757e-2, 5.959e-2,6.471e-2,1.504e-1,6.541e-2,5.488e-2
HE2     , 2.485e-1, 2.497e-1,2.478e-1,2.483e-1,2.479e-1,1.479e-1
JY5     , 6.064e-3, 7.273e-3,6.447e-3,2.018e-1,6.416e-3,6.057e-3
UDF1    , 1.081e-1, 8.862e-2,6.588e-2,7.559e-1,1.081e-1,6.758e-2
UDF2    , 1.364e-2, 1.575e-2,1.419e-2,5.821e-1,1.364e-2,1.160e-2
